"Диалог","Допродажи","Успех допродажи"
" Здравствуйте!
 Здравствуйте!
 Может чизкейк? Нормальный, посвежий?
 Какой для вас?
 Манго маракуйя?
 Да. И две трубочки.
 И маленький капучино.
 Капучино для вас на классическом молоке?
 Да.
 Так, у нас получается маленький капучино на классическом
 лаке, чизкейк, манго, маракуйя и трубочка с вареной сгущенкой.
 Две трубочки.
 Две трубочки с вареной сгущенкой.
 975.
 Чек понадобится?
 Нет.
 Мне нужен какой-нибудь маленький подносчик, чтобы донести
 это все сюда.
 Есть?
 Подноса у нас нет, могу трубочки я в пакетик сложу.
 Да, да, да.
 В общем, да.
 Для вас трубочки в один пакетик или в два разных?
 В общем, Джексис, как реализация, мне просто не нравится сюжет на линии фото.
 Мне нравится битва в следующей трилогии.
 С ней наработано.
 А фото... это не мой фото.
 Хотя актёр, ну, мне нравится.
 Только брать не хотелось.
 Какой?
 Она планирует заказывать новые печенья.
 Это интересно.
 А с какой стороны мне понравились шоколадные, что я могу заказать, и еще раз печенье с лицом?
 Печенье точно останется.
 Но вот она решила заказывать еще какие-то совсем другие.
 Посмотрим.
 Хотел попрощаться и видимо не выйдет.
 Я имею ввиду Костя.
 Ну, он только...
 Ладно, я пойду тогда.
 Всего доброго.
 Это вот, да, я сейчас буду...
 Счастлива.
 Всего доброго.
","+",""
" Здравствуйте!
 Здравствуйте!
 На обычном блоке?
 На обычном.
 А биомнога приподойдет?
 Да, вполне.
 Хорошо.
 Прикусить желаете?
 Нет.
 Чек нужен?
 Нет.
 Можно прикладывать.
 Вам что нужно?
","+",""
" Капучино, пожалуйста. Всего доброго!
 Всего доброго!
 Здравствуйте!
 А есть чёрный чай?
 Чёрный чай, да, есть.
 Можно стаканчик?
 Да, конечно.
 У нас чай идёт в стаканчиках 0,3.
","+",""
" Простите, а можно водичку?
 Холодно?
 Нет
 Вань, замучил!
","",""
" Вань, замучил!
 Чек нужен?
 Нет
 Спасибо.
 Хорошего вечера.
 Вадь, ты замучила меня.
 Всё, нет.
 Продолжение следует...
","+",""
" Здравствуйте.
 Что еще?
 Цыплюк савирал.
 Хорошо. Перепись.
 У вас на второго пакета не будет небольшого?
 Потому что вам этот карточек и сумки.
 Какой подойдет?
 А, нет, а сиропчиком.
 Спасибо.
 Перепись.
 Редактор субтитров А.Захарова
 Корректор А.Егорова
 Спасибо за субтитры Алексею Дубровскому!
 Здравствуйте.
","",""
" Здравствуйте.
 Сейчас, вот.
 Скажите, пожалуйста, а можно будет латте большой?
 0,3 максимально.
 Да, да, да, отлично. По карте буду кладывать.
 На обычном молоке? Да, на обычном.
 Чек нужен?
 Можно прикладывать?
 Хотела спросить, как ты их стираешь?
 Ну, сколько ты...
 В продуктах, да.
","",""
" Можно нам вот этот? Сколько он веет? Повелилитров?
 0,3
 0,3, да?
 Вкусный, хороший?
 Хороший
 Давайте его тогда
 И по сладостям это вот здесь, да, у вас?
 Да, еще здесь
 Трубочки, скажите, они сухие или мягкие?
 Чуть мягкие.
 Ну, давайте ее тогда.
 То есть, она не хрустящая?
","",""
" Можно прикладывать
","+",""
" Чёрный чаще.
 Какого с объёмом он ведёт?
 0,3
 Что-нибудь еще?
 Все, спасибо.
 Чек нужен?
 Нет, нет.
 Ну, придется взять 0,5, подождать, пока он заварится.
 Маш, клади.
 Ладан и кокосовый
 Хотите на кокосовый?
 А что?
 На кокосовый там будет
 Вы можете здесь его взять
 Там есть
 Все хорошо
 Оставьте
 Сейчас в автобусе
 Пора
 Редактор субтитров М.Лосева Корректор Е.Жукова
","",""
" Добрый день!
 Здравствуйте!
 Здравствуйте!
 Вкусники, пожалуйста!
 Капучино
 0,3 подойдет?
 Да, обычный макри.
 На обычном маке?
 Да.
 Чак нужен?
 Нет.
","",""
" Здравствуйте.
 Здравствуйте.
 Здравствуйте.
 Есть что-то на позади?
 Чёрный чай с червицом?
 Можешь пить?
 Подождите, а какое у вас молоко есть?
 Кокосовое, банановое, миндальное, конопляное, безлактозное и овсяное.
 Понятно.
 Крайне рекомендовал бы конопляное.
 Для поднятия настроения.
 Да, конечно.
 Не, оно ничего не делает, конечно.
 Пожалуйста.
 А можно мачо тогда, не знаю, с чем-нибудь?
 С чем желаете?
 Ну в смысле с молоко вот с каким-нибудь.
 Я просто не знаю, на что это уже.
 Мачо очень хорошо на кокосовом. Прям очень вкусно.
 На кокосовое тоже вэльдли?
 Да.
 Понятно. Ну давайте тогда вэльдли на кокосовом и мачо.
 Какой для вас объем? 0,2 или 0,3?
 0,2.
 Как обычно.
 Как обычно.
 Ну, от капюшона большой.
 Без вот этих вращений.
 Сахар заменители у вас есть?
 Нет.
 А у нас есть.
 Да.
 А как мне молоко? Две штуки.
 Так. На кокосовом у нас получается.
 Мачо на кокосовом и капюшина большой на классическом молоке.
","",""
" Капучин готов!
 Я сейчас тоже.
 Нет, нет, нет.
 Мы, мы, мы.
 По-моему, лично.
 Лично приказано.
 Вот.
 Костик Терема.
 Костик Костик.
 Костик Костик.
 Фамилия Костик.
 Спасибо за субтитры Алексею Дубровскому!
 Спасибо за ожидание. Пожалуйста, ваши мачо и мой кокосовый.
 Всего доброго!
","",""
" А можно еще, наверное, вот эти вот печеньки?
","",""
" Здравствуйте, что для вас?
 Здравствуйте, профессиональный сырный
 Забери вам что-нибудь
 У меня есть
 Для вас его побреть?
 Да, можно
 Хорошо
 Я могу гриль побреть, но он тогда немножко спущится
 Не страшно?
 Не надо, не спущится
 Хорошо, пока могу наковырнуть
 Да
","",""
" Редактор субтитров А.Семкин
 Корректор А.Егорова
 Состояние документов.
 Документы.
 Сохранение.
 Сохранение.
 Осталось
 геннадий
 и итальянский.
 Сохранение.
 Потом
 десерты.
 Десерты.
 Зоочистка.
 Десерты.
 Десерты.
 Потом
 десерты.
 Ладно, давайте тогда проверю. А вы мне подскажете, чем чабрец отличается от иван-чая?
 Так, чабрец, он более мелкий идёт, то есть, сейчас могу даже показать.
 Иван-чай это такой крупный листовой, а чабрец, он как мелкая штрушка такая.
 А вот по вкусу, по запаху они просто, мне кажется, похожи.
 Не знаю, для меня чабрец больше отдаёт таким вот сеном, вот что-то такое.
","",""
" Скажите, пожалуйста, можно мне латы черника лакрица и трубочки?
 Да, конечно, латы черника лакрица. Для Вас холодные или горячие?
","",""
" Здравствуйте. Добрый вечер. Пожалуйста, ваш ванчай.
 Не подскажете, какой лимонад самый вкусный?
 Я облепиховый люблю. Он очень вкусный.
","",""
"","",""
" Здравствуйте!
 Можно 2 миллиона? Да, конечно.
 По классике на сливках для вас сделать? Да, на сливках.
 Так, десерт и выпечка для вас? Нет, нет, спасибо.
 350, чек банан? А, у тебя можно кросс-сандвич?
 Да, конечно. Сейчас скидка 20% на него будет.
 Так, 42 слоя у нас классический.
","",""
" Приятного Вам аппетита!
 А у вас есть американо обычное?
 Американо нет, но мы предложили лунга.
 Это тоже чёрный кофе без молока, без сахара, заваренный другим способом просто.
 По концентрации будет так же.
 Лунга?
 Да.
 Лунга. Американо такое есть.
 Немножко меньше.
 Сколько?
 Больше на дорогу в тот доктор.
 Мясо с мясом.
 Не знаю.
 Может быть.
 Ну и давай, закажу.
 Блин, наверное, нет. Я не хочу все-таки.
 Ну смотри.
 Пошли.
 Спасибо большое за ожидание. Пожалуйста, ваш кунг.
 Спасибо.
 Хорошего вам вечера.
 Здравствуйте!
 Можно 2 миллиона? Да, конечно.
 По классике на сливках для вас сделать? Да, на сливках.
 Так, десерт и выпечка для вас? Нет, нет, спасибо.
 350, чек банан? А, у тебя можно кросс-сандвич?
 Да, конечно. Сейчас скидка 20% на него будет.
 Так, 42 слоя у нас классический.
 Он сегодняшний, да?
 Да, да, да, его сегодня вот привезли.
 Так, скидка випчика у нас 20%, получается 486.
 Чек понадобится для вас?
 Нет.
 Я неправильно ввел? Вытащить карту?
 Нажмите обмену.
 А так вот, отказался.
","",""
" Здравствуйте, сейчас подойду.
 Что вы хотите?
 А, ну, арабский.
","",""
" Спасибо большое за ожидание. Пожалуйста, ваш кунг.
 Спасибо.
 Хорошего вам вечера.
 Здравствуйте!
 Можно 2 миллиона? Да, конечно.
 По классике на сливках для вас сделать? Да, на сливках.
 Так, десерт и выпечка для вас? Нет, нет, спасибо.
 350, чек банан? А, у тебя можно кросс-сандвич?
 Да, конечно. Сейчас скидка 20% на него будет.
 Так, 42 слоя у нас классический.
 Он сегодняшний, да?
 Да, да, да, его сегодня вот привезли.
 Так, скидка випчика у нас 20%, получается 486.
 Чек понадобится для вас?
 Нет.
 Я неправильно ввел? Вытащить карту?
 Нажмите обмену.
 А так вот, отказался.
 А, всё прошло. Пожалуйста.
 Спасибо.
 Здравствуйте, для Вас что?
 Можно мне латте?
 Так, на классическом молоке для Вас?
 Да.
 Так, получается латте на классическом молоке. 350.
 Чек понадобится?
 Нет.
 Через 34 минуты будет готово.
 Я была... вот. Ну, короче, по максимуму все сделал.
 Единственное, что вопрос я просто не с чем понимаю, где точки закрываться.
 В плане необходимых ваш список действий.
 Хорошо, я тебе объясню, и если что, я тебе напишу в Телеграме,
 чтобы ты, если что, мог мне написать и спросить.
 Я буду на связи.
 список этого
 прочиталисания за сегодняшний день
 я составил
 Здравствуйте, сейчас подойду.
 Что вы хотите?
 А, ну, арабский.
","",""
" Что для вас?
 Можно капучино, пожалуйста?
 Да, конечно. Какой для вас объем? 150 или 300?
 150.
 На классическом молоке?
 Ровно.
 300 ровно.
 А, это, еще один дракон есть.
 Какой дракон?
 Сейчас.
 Вот.
 Раджама.
 Это забивать девушку ко мне или за хулиганье.
 Для вас что-нибудь?
 Можно?
 Классический?
 Да
 Классический...
 Так, 480
 Чек понадобится?
 Нет
 Спасибо большое за ожидания, пожалуйста.
 Спасибо.
 Всего такого, хорошего вечера.
 Спасибо.
 Редактор субтитров А.Семкин
 Корректор А.Кулакова
","",""
" Здравствуйте!
 Здравствуйте!
 Здравствуйте!
 Можно пожалуйста кучер маленький?
 Да конечно!
 Конечно. На классическом молоке для вас.
","+",""
" Туда можно поставить.
 Ну, если что, ты пиши.
 Я на связи, типа, я ничего не занят.
 Все нормально.
 Ты не парься.
 Это ты Константин Грозавыч?
 Вот она.
 Спасибо за среду.
 Это тебе спасибо.
 Тебе спасибо, что спасали.
 Приятно было работать.
 Мне тоже.
 Редактор субтитров Н.Закомолдина Корректор Е.Жукова
","",""
" Ну, можно погусить, он будет объемом 0.2.
 Могу приложить еще латте, лимонное печенье или латте черниково-переца
 Там больше объема
 0,3
","",""
" Можно вас к какао?
 Холодное?
 Нет, горячее.
 Ну а обычное молоко и с сахаром или без?

 Писташе
 Хорошо, что он будет объемом 0,2
 Ага
 А дай старое какао, и все сахнет
 На обычном молоке, верно?
 Да, на обычном
 Так, хорошо
 Вот, холодное молоко и лимонное печенье
","",""
" Какао?
 Да, какао.
 Можно вас к какао?
 Холодное?
 Нет, горячее.
 Ну а обычное молоко и с сахаром или без?

 Писташе
 Хорошо, что он будет объемом 0,2
 Ага
 А дай старое какао, и все сахнет
 На обычном молоке, верно?
 Да, на обычном
 Так, хорошо
 Вот, холодное молоко и лимонное печенье
 Получается какао с сахаром, латте с лимонными печеньями и один ролл с лососьм.
 Верно?
 И еще один чай.
 Хорошо.
 Чек нужен?
 Можем прикладывать
 Американец?
 Есть только в Лондоне
 Это тоже черный кофе
 Это фильтр?
 Нет, это именно черный кофе, приготовленный через эспрессо-машину
","",""
" Добрый день!
 А чай есть?
 Чай есть
 Но нужно будет его подождать
 минут 5 и там заварится
 А тут стоит и как?
 Чего выбрать?
 Спрашиваю
","",""
" Как-то лучше какао. Можно какао?
 Какао?
 Да, давайте какао.
 Сахаром без?
 Да, с сахаром.
 Нам больше молока?
 Давайте.
 Оплата у вас с картой?
 Да, через QR-код.
 Можно вот здесь вот сканировать.
 За это через камеру сканировать.
 В положение банка он порой не работает.
 Перейти по ссылке не получится.
 Сейчас попробуем.
 Какао готов?
 Какао готов!
 ПОЛИЦЕЙСКАЯ СИРЕНА
","+",""
" можно прикладывать
 2 минуты и будет готово
 Продолжение следует...
 Ваша куличина готова. Спасибо большое. Пожалуйста.
 Хорошего вечера. Спасибо.
","",""
" То есть мятными, например, можно?
 Да.
 Можно еще что-то туда добавить, например,
 проще вариант, если прям успокоиться,
 может, ромашки туда бахнуть.
 Но у нас обычно добавляют либо чабрец,
 либо лист вишни, вот что-то такое.
 Так сказать, смешать.
 А вот это лист вишни.
 мята и лиственничный
","+",""
" Здравствуйте.
 У меня машина маленькая.
 Это будет 150 мл.
 Я хочу побольше.
 Есть 0,3 мл?
 Давайте.
","+",""
" Добрый вечер.
 А дай-ка я псевдону печенья.
 Одну?
 Одну, пока.
 А из напитков что-нибудь?
 Чек нужен?
 Нет.
 Может, не нужен.
 Ага!
 Мы тебя достукали.
 Пока мы с тобой отжирнулись.
 А потом говорит, я не ем.
 Я не ем.
 У меня?
 Да.
 Такой начинка.
 Вот такой начинка.
 Нравится?
 Да.
 Хорошо, да, да.
 Посколько завтра?
 Ну ладно, много посидите еще.
 Хорошо, до свидания.
 До свидания.
 Завтра приедут.
 А я тоже не поняла, как они сегодня...
 Мы сейчас не можем карьеры найти, не понятно где же.
 Нет, они должны были завтра.
 Он что-то, видимо, перекупил.
 Пойдемте.
 Хорошо, вечером.
 Хорошо, вечером.
 Продолжение следует...
 Субтитры добавил DimaTorzok
","",""
" Можно, ну, только в стакан вот в такой ложке
 Вот в такой?
 Нет, в куриный, но в этот в такой
 Хорошо
 Жвачка есть?
 Нет
 С собой
 Чек нужен?
 Нет
 Здрасте
","",""
" Растения латте с собой
 Ставь, Кирюша
 На обычном молоке?
 Да
 Так, латте на обычном молоке с собой
 Чек нужен?
 Нужен, прикладывай
","+",""
"","+",""
"","",""
"","+",""
"","",""
"","+",""
"","+",""
" Здравствуйте!
 Можно моё печенье колопить?
 Угу
 Что-нибудь ещё?
 Нет
 Ровно 300
 Редактор субтитров О.Голубкина
 Корректор А.Егорова
 Продолжение следует...
 Ты же помнишь, что я обещал тебе проставиться?
 Что ты мне обещал?
 Проставиться за то, что помогаешь мне.
 Да.
 Давай я тебе обеда плачу сегодня.
 Чтооо?
 Тебе дали зарплату?
 Нет, ну я сварил.
 Да ладно, давай как-нибудь дождемся зарплаты.
 Достаточно зарабатывать.
 Ну хорошо.
 Не, ну ты же продолжаешь помогать, давай, что хочешь.
 Ну пока ничего.
 Не обязательно отсюда, а как бы, может, оттуда и с выходом что-нибудь.
 Ты не вовремя обожал.
 У меня есть с собой обед, но если хочешь прям так проставиться, то я...
 Я тебе могу завтра проставиться.
 Ну ладно.
 Не, не, как бы завтра в понедельник.
 Вот я зайду, ты не работаешь завтра.
 Угу.
 Я приеду.
 Ладно, мы будем, знаешь, как можем сделать?
 Я хочу овсяную печеньку и три в пакет.
 Мне этого достаточно.
 Так, ну давай.
 Не будем тянуть слишком сильно.
 Хорошо.
","",""
" Приглашаем вас посетить здоровую площадку ЦВ-Свечник
 на историческом центре провинции.
 Вход в столовую на шестом этаже
 Рейдерского театра и ехавого подвига.
","+",""
" Здравствуйте.
 Доброе утро.
 Можно кучино маленький?
 На обычном молоке для вас?
 На обычном, да.
 Трекусечный, наверное?
 Нет-нет.
 Чек распечатать для вас?
 Нет-нет.
","+","+"
" Для вас что-нибудь?
 Что-нибудь, да...
 Эдакое.
 Тук-тук-тук-тук
 Капучино большое, это сколько? Это 300 объемов.
","",""
" Капучино большое, это сколько? Это 300 объемов.
 Давайте тогда такой миндальный, ой, с каким-то там необычным молоком.
 Можно миндальным, можно овсяным, можно конопляным.
 Конопляным, наверное, будет. Это вот самое необычное.
 Самое. Чего конопляным? Конопляное молоко ты пропустила.
 Блин, я не пробовала такое никогда. Я тоже.
 Для меня это в семье есть банального и миндального.
 Такой вот сладко-густой.
 Давайте попробуем, что.
 В любом случае донесет.
 Даль за ноги дотащит.
 Ещё что-нибудь? Да ну, куда уж там ещё всё.
 Знаешь, я чай пью такой, и вот вообще нигде ничего. Ни разу.
 Конопляное?
 Я просила довезти мне из-за этой... Отсюда куда можно?
 В итоге, короче, его задержали на нашей таможне, но всё-таки не успели.
 Может быть, ты ложишься спать, а просыпаешься на настоящее время через...
 Кто знает.
 Нет, это не вообще нормально. Он расслабляет чуть-чуть, и всё.
 О, кстати, насчёт расслаблять. Найду-ка я за коньячком.
 Ой, что ты меня примером берёшь?
 Что?
 Меня примером берёшь.
 Конечно, ты любила применить, конечно, хорошие.
 Не, не всегда я, конечно, с тобой возлю.
 Я забыл. Я же поджидаю.
 Я тебе привезу на пробу.
 Привези на пробу. Кто делает?
 Без понятия, мне не говорят.
 Но очень классно.
 На пробу привези, да, потому что...
 А я чуть недавно взял, думаю, кофе.
 Может, с миндалем сейчас одам?
 Я ничего у меня не хочу, думаю.
 Не понравилось мне, ничего не хорошо.
","",""
" Капучино.
 Это ваше?
 Так, и паштет, да?
 Да.
 Корзиночка.
 Получается большой капучино и паштет.
 По карте у вас будет?
 Наличие.
 475.
 Я тут закончу.
 450, да?
 75.
 475?
 Тогда...
 А будет у вас с пяти издательств?
 Боюсь, что я не могу.
 Сейчас.
 О, есть.
 25.
","",""
" В итоге, короче, его задержали на нашей таможне, но всё-таки не успели.
 Может быть, ты ложишься спать, а просыпаешься на настоящее время через...
 Кто знает.
 Нет, это не вообще нормально. Он расслабляет чуть-чуть, и всё.
 О, кстати, насчёт расслаблять. Найду-ка я за коньячком.
 Ой, что ты меня примером берёшь?
 Что?
 Меня примером берёшь.
 Конечно, ты любила применить, конечно, хорошие.
 Не, не всегда я, конечно, с тобой возлю.
 Я забыл. Я же поджидаю.
 Я тебе привезу на пробу.
 Привези на пробу. Кто делает?
 Без понятия, мне не говорят.
 Но очень классно.
 На пробу привези, да, потому что...
 А я чуть недавно взял, думаю, кофе.
 Может, с миндалем сейчас одам?
 Я ничего у меня не хочу, думаю.
 Не понравилось мне, ничего не хорошо.
 Я не люблю, когда кто-то гуляет, он не знает, как это делать
 Можно я заказ выпрямлю?
 А?
 Заказ девушка занесла
 А вы мне можете?
 Да-да-да, я сейчас сюда могу
 Хочешь, иди к нам на канал.
 Валя, как у тебя?
 Залезай, поднимайся.
 Я лучше так схожу, потому что здесь 60 кг.
 Ну, что-то там было, да?
 Да.
 У меня лучше, лучше, лучше не будет.
 Тоже вариант.
 Пожалуйста.
 Пожалуйста.
 Капучино.
 Это ваше?
 Так, и паштет, да?
 Да.
 Корзиночка.
 Получается большой капучино и паштет.
 По карте у вас будет?
 Наличие.
 475.
 Я тут закончу.
 450, да?
 75.
 475?
 Тогда...
 А будет у вас с пяти издательств?
 Боюсь, что я не могу.
 Сейчас.
 О, есть.
 25.
 Чек понадобится для вас?
 Надо быть турком или...
 Чек не нужен.
 Я пока не буду.
 Нет, ну я вам сейчас вычу.
 Вычу все-таки турки.
 Турки и евреи вычу.
 Я первый выберу, а дальше не буду.
 Второй не знаю.
 Не понял.
 Вероника.
","",""
" Пожалуйста, капучино.
 Вам её с собой в пакетик положить?
 Куда вы хотите.
 А водосупостый?
 Что здесь?
 Водосупстый.
 Здравствуйте!
 Пусть это была обычная кухня
 И свежемышленная, я надеюсь, сегодня
 Хорошо
 Так, 650
 Чек понадобится?
 Нет
 Редактор субтитров А.Сёмкин
 Корректор В.Сухиашвили
 
 Спасибо.
 Спасибо.
 А можете вот на стоечке оставить.
 Спасибо.
 Спасибо большое.
 Пожалуйста.
 До свидания.
 Большое вам спасибо.
 Спасибо.
 Спасибо.
 300 или 150 объемом?
","+","+"
" Капучино фисташко с фисташком сиропом?
 Нет, соус на слое сливок.
 Класс.
 По вкусу как потаявшее мороженое будет.
 Я люблю нацивое, я просто смотрю.
 Я тогда попробую капучино.
 А че?
 Я люблю кладбицу.
 Я попробовала, как ее можно вообще любить.
 Ну и бывает, бешеный бешеный.
 Я буду капучино фисташко, пожалуйста.
 Только он объем 0,2. Подойдет?
 0,2?
","",""
" Капучино фисташко с фисташком сиропом?
 Нет, соус на слое сливок.
 Класс.
 По вкусу как потаявшее мороженое будет.
 Я люблю нацивое, я просто смотрю.
 Я тогда попробую капучино.
 А че?
 Я люблю кладбицу.
 Я попробовала, как ее можно вообще любить.
 Ну и бывает, бешеный бешеный.
 Я буду капучино фисташко, пожалуйста.
 Только он объем 0,2. Подойдет?
 0,2?
 А вот стаканчик.
 Такого будет.
 Если что, очень холодное есть
 А рецепт у тебя это...
 С апельсином
 Да, апельсин, лимон
 А как это в формате?
 Пудра
 Да, это всё перемалывается
 То есть цедра засушенная
 Она перемалывается с сахаром
 И получается вот такая вот
 Просыпка
 Прикольно
 Скорость нет.
","+",""
" Здравствуйте.

 Капучино.
 Маленький или что? Маленький.
 Что-нибудь еще перекусить?
 Про сандвич?
 Нет, я не буду
","+",""
" Здравствуйте!
 А мороженое есть у вас?
 Да, есть. 90 грамм.
 Да, 200. Разные вкусы.
 Давайте ванильный.
 Оно какого цвета?
 Белого.
 А клубника или елик есть цвет?
 Розовый.
 Ещё что-нибудь?
 А мороженое какое-то?
 А мороженое есть...
 Так, гарахис карамель, печенье карамель, пломбир, сицилийская фисташка, сжималось, кокос, малина и манго-имбир.
","+","+"
" Да. И капучино есть?
 Да, есть.
 Большая или маленькая для вас?
 Большой давайте
 Но будет внутри в нем
 Получается
 Милкшейк капучино с базиликом
 Мороженое пломбир
 И большой капучино 950
 Чек для вас распечатать?
 Что распечатать?
 Чек
 Хорошо
 Минут через 5 можете подойти.
 Вот это растворение, вот это хрень!
 Вот это...
 Детей заставляют гадать, вот это...
 Вот это да, детей заставляют гадать!
","+",""
" Здравствуйте. А прейше есть у вас?
 Что прейше?
 Да, апельсины и грейпфрут.
 А маленькие сколько?
 300.
 Сейчас будем или как погулять потом?
 Сейчас.
 Апельсиновый для вас?
 Да, апельсиновый маленький.
 А он будет...
 Ну да, да, ну и 300.
 Вот такой стаканчик нам.
 Вот такие салатики.
 Еще что-нибудь?
 Нет, спасибо.
","",""
" А можно, пожалуйста, наточение в шоколадном вкусе?
 Шоколадный чистый или силендембс?
 Силендембс
 Так, получается белый чай и печенье шоколадное с нандегсом.
 370, чай нужно будет минут 5 подождать, чтобы заварился.
 Хорошо, ладно.
 Я вам сразу отдам или побольше?
 Давайте вместе с чаем
 Редактор субтитров А.Сёмкин
 Корректор А.Кулакова
","+","+"
"","",""
" Здравствуйте!
","+",""
" Рафа, можно сделать холодное авторское меню?
 Да, можно
 Очень холодная капучино фисташка. Десерт и выпечка для вас.
 300 ровно, чек понадобится?
 Нет
 Капибара классная
 Да, это у нас есть коллега с другой точки, который здесь помогал, он обожает Капибар
 Везде приносит наклейку с ними
 У меня ребенок оказался уже 7 из Капибара
 пожалуйста ваша холодная печень фисташка
 спасибо
 всего доброго, хорошего дня
 чизкейков нет?
 чизкейков нет к сожалению
 ну что
 в Алибии неверсия
 Красная миндаль
 Вот эта есть, которая из будреки
 Хорошо
 Которая подальше?
 Которая ко мне поближе, а от нас подальше
 Так
 Боливия, Петролатрия
 С вами отличаются
 Витамина нету, да?
 Да, сейчас мне не привозили еще
 Пару эфиров еще
 Получается у нас иммерсия на Боливии, круассан виндальный
 и 2-3 пейферки.
 680. Чек понадобится?
","",""
" Холодненький кофе, очень вкусненький
 Холодно
 Рафа, можно сделать холодное авторское меню?
 Да, можно
 Очень холодная капучино фисташка. Десерт и выпечка для вас.
 300 ровно, чек понадобится?
 Нет
 Капибара классная
 Да, это у нас есть коллега с другой точки, который здесь помогал, он обожает Капибар
 Везде приносит наклейку с ними
 У меня ребенок оказался уже 7 из Капибара
 пожалуйста ваша холодная печень фисташка
 спасибо
 всего доброго, хорошего дня
 чизкейков нет?
 чизкейков нет к сожалению
 ну что
 в Алибии неверсия
 Красная миндаль
 Вот эта есть, которая из будреки
 Хорошо
 Которая подальше?
 Которая ко мне поближе, а от нас подальше
 Так
 Боливия, Петролатрия
 С вами отличаются
 Витамина нету, да?
 Да, сейчас мне не привозили еще
 Пару эфиров еще
 Получается у нас иммерсия на Боливии, круассан виндальный
 и 2-3 пейферки.
 680. Чек понадобится?
","+",""
" Здравствуйте.
 Здравствуйте.
 Они будут объемом 0,2. Подойдет для вас?
 Да.
 Получается 2 капучино и фисташка, 600 ровно.
 Десерт и выпечка для вас.
 Он состав какого?
 Вот, зерно, если...
 В смысле, арабика?
 100%
 Да, у нас пошло текафеин, у нас только арабика
 Получается у нас 2 копченого фисташка и Боливия, 1510.
 Чек понадобится?
 Нет.
 Спасибо за субтитры Алексею Дубровскому!
 Приятного аппетита!
 Тебе номер что-нибудь нет?
","+",""
" Можно так, на чём?
 Ну, немножко.
 Ну, ничего, ну просто вот, за счёт этой векной штуки, он сладкий.
 Мне вчера взяли две паштетинки на одна девушка, ну что ж...
 Две паштетики.
 Я отказалась от них.
 Как мать. Я отказалась от них.
 Я вчера попробовал шоколадное печенье, мне что-то понравилось.
 Какое? В Simone's?
 Да.
 Как жаль, что оно на стопе.
 Что, как жаль?
 На стопе, но оно есть.
 Шоколадное печенье.
 А, нет, шоколадное печенье.
 Пробовать ещё?
 А, другие.
 Какие?
 Секрет.
 Секрет, пока, да?
 Да. Никто ещё не знает.
 Ну ладно, ждём.
 Здравствуйте.
 Здравствуйте, а можно растер?
 Как вот для вас?
 Классический.
 Хорошо.
 А как вы делаете классический?
 Следующий раз?
 Как вы делаете классический?
 Ааа, сливки также, только у нас, мы не используем сиропы, у нас пудра.
 Пудра.
 Ванильный сахар.
 Да, верно.
","+",""
" Как ваша сменка закончилась?
 Вчера?
 Да.
 Ой, да нормально, я вчера до вас мимо, поэтому...
 ушел домой и все было хорошо.
 Сегодня закрываюсь.
 А чувак этот, он...
 типа ваш... ну этот новый, который вы сдали, или это...
 Не-не-не-не, это Фрэнк, он с другой точки, с Арчин-Луковской.
 Арчин-Луковская, знакомая, голодная, ближайшая, все время вон, занимается.
 Там бизнес-центр.
 Метро там нет?
 Метро там нет?
 Метро?
 Недалеко, но я не помню какая станция.
 Новослободская?
 Нет.
 Новоясеневская? Я не помню.
 Ново что-то там.
 Вернее, плохо.
 По-моему, с декабря-декабрью у нас будет совсем далеко.
 Хотите снимать?
 Да, я там...
 У меня просто остались воспоминания про эту станцию,
 поэтому она еще в голове есть.
 Такая гадость
 Скоро новая организация Сайдент Хилла выйдет?
 Да, я не знал.
 Вы предыдущую видели?
 Там две же.
 Но вторая мне не очень понравилась.
 Первая какая-то более атмосферная.
 А я вторую люблю.
 Для меня вторая очень дерганная.
 Вы её смотрели?
 На первом ряду в кинотеатре в поздний сеанс нас показали только всего 3-4 человека.
 Люблю такое.
 Мы её до этого ещё не видели.
 То есть это 8-12 годов до конца.
 Да.
 Уже после Хануэ.
 Или Хануэ.
 Очень была атмосферная вечерняя встреча, не поздно.
 То есть мы там наорались в зале.
 Я очень люблю первую часть, а вторая мне как-то меньше зашла.
 Это еще и редкий фильм, в котором персонажа Шона Бина не убили.
 Причем при всем, что это ужастик, казалось бы, кто кто, а Шон Бин должен был там, блин, тихонько, в самый опасный момент.
 Меня очень впечатлило то, что там вполне адекватные отношения дочери и отца.
 Но, типа, во второй части.
","+",""
" Да, привет-привет.
 Я в предвкушении выходных.
 О, я тоже.
 что куда уходишь?
 ага, прикинь, оказывается все три были с салями
 тоже с салями
 больше с салями?
 это с салями, это больше нет
 да
 Соня поест
 вы уверены?
 я только что съела
 Костя уверен?
 блин, покраснела, мне кажется
 все хорошо
 я могу тебе разменять
 давайте 100 рублей оставлю
 купишь что-нибудь?
 это как мама, знаешь?
 купишь что-нибудь на 100 рублей?
 спасибо большое
 мы купили
 50 рублей
 yes sir
 я тебя жду
 возвращайся
","+",""
" Здравствуйте!
 Пожалуйста, ладки с собой.
 Десерт и выпечка для вас
 Хорошо, 350. Чек понадобится?
","",""
